# This file was produced by bcftools stats (1.10.2+htslib-1.10.2) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /scratch/eld72413/SAM_seq/results2/VCF_results_new/Create_HC_Subset/New2/Filter2_122828/Sunflower_SAM_SNP_Calling_GenoFieldFiltered.vcf
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/scratch/eld72413/SAM_seq/results2/VCF_results_new/Create_HC_Subset/New2/Filter2_122828/Sunflower_SAM_SNP_Calling_GenoFieldFiltered.vcf
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	288
SN	0	number of records:	63739304
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	63739304
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	3694929
SN	0	number of multiallelic SNP sites:	1467434
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	41225766	24089416	1.71	40065629	22635096	1.77
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.222222	97428	62543	34885	0	0	0	0
AF	0	0.225694	94223	60509	33714	0	0	0	0
AF	0	0.229167	91333	58749	32584	0	0	0	0
AF	0	0.232639	92672	59362	33310	0	0	0	0
AF	0	0.236111	91130	58427	32703	0	0	0	0
AF	0	0.239583	89772	57689	32083	0	0	0	0
AF	0	0.243056	89113	57412	31701	0	0	0	0
AF	0	0.246528	72254	46726	25528	0	0	0	0
AF	0	0.250000	90949	58582	32367	0	0	0	0
AF	0	0.253472	83230	53618	29612	0	0	0	0
AF	0	0.256944	81228	52283	28945	0	0	0	0
AF	0	0.260417	78925	50846	28079	0	0	0	0
AF	0	0.263889	80173	51389	28784	0	0	0	0
AF	0	0.267361	79305	51159	28146	0	0	0	0
AF	0	0.270833	76881	49468	27413	0	0	0	0
AF	0	0.274306	76950	49457	27493	0	0	0	0
AF	0	0.277778	76997	49502	27495	0	0	0	0
AF	0	0.281250	72397	46575	25822	0	0	0	0
AF	0	0.284722	79969	51295	28674	0	0	0	0
AF	0	0.288194	76535	49506	27029	0	0	0	0
AF	0	0.291667	77896	50172	27724	0	0	0	0
AF	0	0.295139	80037	51359	28678	0	0	0	0
AF	0	0.298611	72749	46769	25980	0	0	0	0
AF	0	0.302083	76584	49363	27221	0	0	0	0
AF	0	0.305556	75727	48683	27044	0	0	0	0
AF	0	0.309028	74397	47784	26613	0	0	0	0
AF	0	0.312500	75316	48359	26957	0	0	0	0
AF	0	0.315972	73411	47238	26173	0	0	0	0
AF	0	0.319444	72028	46281	25747	0	0	0	0
AF	0	0.322917	72116	46127	25989	0	0	0	0
AF	0	0.326389	72333	46500	25833	0	0	0	0
AF	0	0.329861	64550	41438	23112	0	0	0	0
AF	0	0.333333	73292	46992	26300	0	0	0	0
AF	0	0.336806	71477	45692	25785	0	0	0	0
AF	0	0.340278	71844	45850	25994	0	0	0	0
AF	0	0.343750	71714	45925	25789	0	0	0	0
AF	0	0.347222	69271	44511	24760	0	0	0	0
AF	0	0.350694	67164	43133	24031	0	0	0	0
AF	0	0.354167	61795	39759	22036	0	0	0	0
AF	0	0.357639	59521	38404	21117	0	0	0	0
AF	0	0.361111	56736	36613	20123	0	0	0	0
AF	0	0.364583	55584	35864	19720	0	0	0	0
AF	0	0.368056	55116	35462	19654	0	0	0	0
AF	0	0.371528	51027	32835	18192	0	0	0	0
AF	0	0.375000	53964	34791	19173	0	0	0	0
AF	0	0.378472	52143	33436	18707	0	0	0	0
AF	0	0.381944	49768	32126	17642	0	0	0	0
AF	0	0.385417	48738	31235	17503	0	0	0	0
AF	0	0.388889	47251	30402	16849	0	0	0	0
AF	0	0.392361	46997	29941	17056	0	0	0	0
AF	0	0.395833	44601	28465	16136	0	0	0	0
AF	0	0.399306	47014	30307	16707	0	0	0	0
AF	0	0.402778	45767	29423	16344	0	0	0	0
AF	0	0.406250	45332	29134	16198	0	0	0	0
AF	0	0.409722	44805	28784	16021	0	0	0	0
AF	0	0.413194	44692	28602	16090	0	0	0	0
AF	0	0.416667	45092	29127	15965	0	0	0	0
AF	0	0.420139	44622	28705	15917	0	0	0	0
AF	0	0.423611	43561	27956	15605	0	0	0	0
AF	0	0.427083	46159	29673	16486	0	0	0	0
AF	0	0.430556	44076	28445	15631	0	0	0	0
AF	0	0.434028	43425	27787	15638	0	0	0	0
AF	0	0.437500	43196	27739	15457	0	0	0	0
AF	0	0.440972	42546	27357	15189	0	0	0	0
AF	0	0.444444	42248	27060	15188	0	0	0	0
AF	0	0.447917	40697	26253	14444	0	0	0	0
AF	0	0.451389	40905	26390	14515	0	0	0	0
AF	0	0.454861	39956	25811	14145	0	0	0	0
AF	0	0.458333	39739	25529	14210	0	0	0	0
AF	0	0.461806	38947	25126	13821	0	0	0	0
AF	0	0.465278	40439	26007	14432	0	0	0	0
AF	0	0.468750	38547	24712	13835	0	0	0	0
AF	0	0.472222	38923	25012	13911	0	0	0	0
AF	0	0.475694	39166	25135	14031	0	0	0	0
AF	0	0.479167	38747	25040	13707	0	0	0	0
AF	0	0.482639	38331	24556	13775	0	0	0	0
AF	0	0.486111	38477	24744	13733	0	0	0	0
AF	0	0.489583	38185	24652	13533	0	0	0	0
AF	0	0.493056	40714	26276	14438	0	0	0	0
AF	0	0.496528	20188	12984	7204	0	0	0	0
AF	0	0.500000	40265	25939	14326	0	0	0	0
AF	0	0.503472	37510	24164	13346	0	0	0	0
AF	0	0.506944	36262	23287	12975	0	0	0	0
AF	0	0.510417	34649	22424	12225	0	0	0	0
AF	0	0.513889	32804	21102	11702	0	0	0	0
AF	0	0.517361	30924	19939	10985	0	0	0	0
AF	0	0.520833	29104	18718	10386	0	0	0	0
AF	0	0.524306	27917	18042	9875	0	0	0	0
AF	0	0.527778	28345	18100	10245	0	0	0	0
AF	0	0.531250	27371	17530	9841	0	0	0	0
AF	0	0.534722	27569	17773	9796	0	0	0	0
AF	0	0.538194	27365	17776	9589	0	0	0	0
AF	0	0.541667	27521	17663	9858	0	0	0	0
AF	0	0.545139	26766	17180	9586	0	0	0	0
AF	0	0.548611	27862	17960	9902	0	0	0	0
AF	0	0.552083	26971	17481	9490	0	0	0	0
AF	0	0.555556	27619	17712	9907	0	0	0	0
AF	0	0.559028	27704	17907	9797	0	0	0	0
AF	0	0.562500	27420	17863	9557	0	0	0	0
AF	0	0.565972	26348	17081	9267	0	0	0	0
AF	0	0.569444	28454	18503	9951	0	0	0	0
AF	0	0.572917	26816	17430	9386	0	0	0	0
AF	0	0.576389	27137	17421	9716	0	0	0	0
AF	0	0.579861	26875	17247	9628	0	0	0	0
AF	0	0.583333	27515	17788	9727	0	0	0	0
AF	0	0.586806	27302	17643	9659	0	0	0	0
AF	0	0.590278	28194	18313	9881	0	0	0	0
AF	0	0.593750	28644	18663	9981	0	0	0	0
AF	0	0.597222	26427	16978	9449	0	0	0	0
AF	0	0.600694	27550	17975	9575	0	0	0	0
AF	0	0.604167	27321	17679	9642	0	0	0	0
AF	0	0.607639	27612	17790	9822	0	0	0	0
AF	0	0.611111	27187	17688	9499	0	0	0	0
AF	0	0.614583	27039	17424	9615	0	0	0	0
AF	0	0.618056	27090	17656	9434	0	0	0	0
AF	0	0.621528	24393	15731	8662	0	0	0	0
AF	0	0.625000	25590	16604	8986	0	0	0	0
AF	0	0.628472	24996	16343	8653	0	0	0	0
AF	0	0.631944	25082	16381	8701	0	0	0	0
AF	0	0.635417	24887	16293	8594	0	0	0	0
AF	0	0.638889	24805	16086	8719	0	0	0	0
AF	0	0.642361	24769	16004	8765	0	0	0	0
AF	0	0.645833	24089	15576	8513	0	0	0	0
AF	0	0.649306	23391	15172	8219	0	0	0	0
AF	0	0.652778	22974	15065	7909	0	0	0	0
AF	0	0.656250	22800	14733	8067	0	0	0	0
AF	0	0.659722	23284	15120	8164	0	0	0	0
AF	0	0.663194	20207	13077	7130	0	0	0	0
AF	0	0.666667	22698	14624	8074	0	0	0	0
AF	0	0.670139	21978	14263	7715	0	0	0	0
AF	0	0.673611	20949	13452	7497	0	0	0	0
AF	0	0.677083	20168	13082	7086	0	0	0	0
AF	0	0.680556	19673	12564	7109	0	0	0	0
AF	0	0.684028	18435	11843	6592	0	0	0	0
AF	0	0.687500	18003	11658	6345	0	0	0	0
AF	0	0.690972	17110	11023	6087	0	0	0	0
AF	0	0.694444	15941	10251	5690	0	0	0	0
AF	0	0.697917	16876	10857	6019	0	0	0	0
AF	0	0.701389	15947	10257	5690	0	0	0	0
AF	0	0.704861	15358	9894	5464	0	0	0	0
AF	0	0.708333	14552	9388	5164	0	0	0	0
AF	0	0.711806	15162	9797	5365	0	0	0	0
AF	0	0.715278	14516	9279	5237	0	0	0	0
AF	0	0.718750	14175	9107	5068	0	0	0	0
AF	0	0.722222	14220	9114	5106	0	0	0	0
AF	0	0.725694	13992	9036	4956	0	0	0	0
AF	0	0.729167	14162	9082	5080	0	0	0	0
AF	0	0.732639	13373	8666	4707	0	0	0	0
AF	0	0.736111	13503	8811	4692	0	0	0	0
AF	0	0.739583	13428	8730	4698	0	0	0	0
AF	0	0.743056	13437	8665	4772	0	0	0	0
AF	0	0.746528	10027	6493	3534	0	0	0	0
AF	0	0.750000	12269	7909	4360	0	0	0	0
AF	0	0.753472	11703	7439	4264	0	0	0	0
AF	0	0.756944	11146	7239	3907	0	0	0	0
AF	0	0.760417	11005	7080	3925	0	0	0	0
AF	0	0.763889	10395	6651	3744	0	0	0	0
AF	0	0.767361	10481	6771	3710	0	0	0	0
AF	0	0.770833	10672	6805	3867	0	0	0	0
AF	0	0.774306	10136	6467	3669	0	0	0	0
AF	0	0.777778	10398	6685	3713	0	0	0	0
AF	0	0.781250	10174	6670	3504	0	0	0	0
AF	0	0.784722	10034	6489	3545	0	0	0	0
AF	0	0.788194	9723	6323	3400	0	0	0	0
AF	0	0.791667	9528	6189	3339	0	0	0	0
AF	0	0.795139	8794	5678	3116	0	0	0	0
AF	0	0.798611	8985	5870	3115	0	0	0	0
AF	0	0.802083	8364	5436	2928	0	0	0	0
AF	0	0.805556	8303	5435	2868	0	0	0	0
AF	0	0.809028	7864	5179	2685	0	0	0	0
AF	0	0.812500	7920	5135	2785	0	0	0	0
AF	0	0.815972	8171	5318	2853	0	0	0	0
AF	0	0.819444	8376	5396	2980	0	0	0	0
AF	0	0.822917	8503	5503	3000	0	0	0	0
AF	0	0.826389	8976	5747	3229	0	0	0	0
AF	0	0.829861	7726	5038	2688	0	0	0	0
AF	0	0.833333	8757	5607	3150	0	0	0	0
AF	0	0.836806	8558	5487	3071	0	0	0	0
AF	0	0.840278	8364	5399	2965	0	0	0	0
AF	0	0.843750	8119	5246	2873	0	0	0	0
AF	0	0.847222	8423	5484	2939	0	0	0	0
AF	0	0.850694	7843	5052	2791	0	0	0	0
AF	0	0.854167	8428	5439	2989	0	0	0	0
AF	0	0.857639	8039	5213	2826	0	0	0	0
AF	0	0.861111	8320	5351	2969	0	0	0	0
AF	0	0.864583	8100	5212	2888	0	0	0	0
AF	0	0.868056	8214	5344	2870	0	0	0	0
AF	0	0.871528	7065	4591	2474	0	0	0	0
AF	0	0.875000	6907	4395	2512	0	0	0	0
AF	0	0.878472	5880	3768	2112	0	0	0	0
AF	0	0.881944	5646	3648	1998	0	0	0	0
AF	0	0.885417	4848	3120	1728	0	0	0	0
AF	0	0.888889	4574	2976	1598	0	0	0	0
AF	0	0.892361	4366	2800	1566	0	0	0	0
AF	0	0.895833	4070	2606	1464	0	0	0	0
AF	0	0.899306	4237	2719	1518	0	0	0	0
AF	0	0.902778	4267	2700	1567	0	0	0	0
AF	0	0.906250	4308	2785	1523	0	0	0	0
AF	0	0.909722	4082	2658	1424	0	0	0	0
AF	0	0.913194	3558	2318	1240	0	0	0	0
AF	0	0.916667	3264	2152	1112	0	0	0	0
AF	0	0.920139	3026	1994	1032	0	0	0	0
AF	0	0.923611	2811	1828	983	0	0	0	0
AF	0	0.927083	2547	1626	921	0	0	0	0
AF	0	0.930556	2352	1506	846	0	0	0	0
AF	0	0.934028	1997	1306	691	0	0	0	0
AF	0	0.937500	2147	1397	750	0	0	0	0
AF	0	0.940972	2016	1282	734	0	0	0	0
AF	0	0.944444	1856	1233	623	0	0	0	0
AF	0	0.947917	1588	1010	578	0	0	0	0
AF	0	0.951389	1357	896	461	0	0	0	0
AF	0	0.954861	1114	715	399	0	0	0	0
AF	0	0.958333	1016	651	365	0	0	0	0
AF	0	0.961806	979	614	365	0	0	0	0
AF	0	0.965278	880	559	321	0	0	0	0
AF	0	0.968750	711	454	257	0	0	0	0
AF	0	0.972222	658	400	258	0	0	0	0
AF	0	0.975694	744	448	296	0	0	0	0
AF	0	0.979167	952	569	383	0	0	0	0
AF	0	0.982639	1060	651	409	0	0	0	0
AF	0	0.986111	1410	874	536	0	0	0	0
AF	0	0.989583	2718	1719	999	0	0	0	0
AF	0	0.993056	1621	1026	595	0	0	0	0
AF	0	0.996528	5154	3281	1873	0	0	0	0
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	216930	131579	83017	0
QUAL	0	31	177286	106817	68697	0
QUAL	0	32	378802	230601	144814	0
QUAL	0	33	222605	135632	84256	0
QUAL	0	34	176985	107435	67534	0
QUAL	0	35	381814	232815	145416	0
QUAL	0	36	221387	135470	83037	0
QUAL	0	37	175584	107720	65790	0
QUAL	0	38	379300	232419	143289	0
QUAL	0	39	224296	137974	83362	0
QUAL	0	40	180829	111390	67294	0
QUAL	0	41	378412	231315	143330	0
QUAL	0	42	220790	136413	81265	0
QUAL	0	43	177580	110034	65204	0
QUAL	0	44	362942	222662	136542	0
QUAL	0	45	216672	134638	78945	0
QUAL	0	46	173014	107571	63081	0
QUAL	0	47	342240	210429	128196	0
QUAL	0	48	209079	129621	76488	0
QUAL	0	49	171630	106750	62595	0
QUAL	0	50	316042	194539	118075	0
QUAL	0	51	199587	123965	72588	0
QUAL	0	52	165073	102892	59899	0
QUAL	0	53	286320	176289	106621	0
QUAL	0	54	191865	119031	69911	0
QUAL	0	55	159778	99410	58006	0
QUAL	0	56	254123	155348	95136	0
QUAL	0	57	171574	106320	62287	0
QUAL	0	58	150347	93417	54577	0
QUAL	0	59	481999	292165	184042	0
QUAL	0	60	306558	185148	115821	0
QUAL	0	61	218751	133808	80884	0
QUAL	0	62	171182	105899	62288	0
QUAL	0	63	114654	71839	40601	0
QUAL	0	64	108675	68255	38647	0
QUAL	0	65	157033	98493	56353	0
QUAL	0	66	112274	70808	39596	0
QUAL	0	67	109073	68493	38879	0
QUAL	0	68	162040	101719	58252	0
QUAL	0	69	114166	71983	40377	0
QUAL	0	70	110638	69604	39403	0
QUAL	0	71	166908	104772	59868	0
QUAL	0	72	117581	74103	41612	0
QUAL	0	73	113795	71812	40348	0
QUAL	0	74	171001	106923	61881	0
QUAL	0	75	121256	76359	43058	0
QUAL	0	76	115827	73353	40806	0
QUAL	0	77	175726	110345	63157	0
QUAL	0	78	123742	77893	43985	0
QUAL	0	79	117371	74053	41688	0
QUAL	0	80	179985	112656	64986	0
QUAL	0	81	126763	79866	44875	0
QUAL	0	82	122708	77332	43682	0
QUAL	0	83	189720	118688	68724	0
QUAL	0	84	130930	82491	46422	0
QUAL	0	85	121433	76234	43427	0
QUAL	0	86	186257	116637	67256	0
QUAL	0	87	125485	79164	44362	0
QUAL	0	88	115242	72594	40903	0
QUAL	0	89	180161	113186	64677	0
QUAL	0	90	123234	78021	43320	0
QUAL	0	91	113275	71513	40176	0
QUAL	0	92	176847	111012	63589	0
QUAL	0	93	119242	74931	42374	0
QUAL	0	94	109654	69105	38993	0
QUAL	0	95	168350	105346	60800	0
QUAL	0	96	118552	74774	41981	0
QUAL	0	97	104462	65773	37017	0
QUAL	0	98	156253	96912	56871	0
QUAL	0	99	106134	66563	37636	0
QUAL	0	100	100181	62763	35803	0
QUAL	0	101	347359	215045	128013	0
QUAL	0	102	180971	111901	65599	0
QUAL	0	103	127523	79278	45700	0
QUAL	0	104	111088	69605	39507	0
QUAL	0	105	84663	53327	29762	0
QUAL	0	106	83374	52362	29636	0
QUAL	0	107	106380	66606	38063	0
QUAL	0	108	85559	53980	30136	0
QUAL	0	109	85894	54250	30296	0
QUAL	0	110	109686	69126	38935	0
QUAL	0	111	86111	54425	30249	0
QUAL	0	112	86254	54538	30403	0
QUAL	0	113	112371	70679	40121	0
QUAL	0	114	87839	55394	31065	0
QUAL	0	115	87916	55599	30999	0
QUAL	0	116	114975	72204	41182	0
QUAL	0	117	89508	56554	31507	0
QUAL	0	118	88853	56367	31152	0
QUAL	0	119	118918	75079	42269	0
QUAL	0	120	90081	57085	31625	0
QUAL	0	121	89945	56713	31795	0
QUAL	0	122	121902	76541	43724	0
QUAL	0	123	92429	58397	32561	0
QUAL	0	124	96563	60884	34241	0
QUAL	0	125	133363	83786	47794	0
QUAL	0	126	97791	61556	34654	0
QUAL	0	127	93013	58715	32877	0
QUAL	0	128	129160	80757	46592	0
QUAL	0	129	91875	57924	32511	0
QUAL	0	130	86388	54591	30517	0
QUAL	0	131	123361	77590	44157	0
QUAL	0	132	88512	55857	31232	0
QUAL	0	133	85597	54095	30206	0
QUAL	0	134	122215	76579	43985	0
QUAL	0	135	86629	54682	30507	0
QUAL	0	136	83317	52470	29488	0
QUAL	0	137	117788	73880	42248	0
QUAL	0	138	87556	55462	30690	0
QUAL	0	139	78952	49731	27948	0
QUAL	0	140	110977	69241	39830	0
QUAL	0	141	78340	49243	27625	0
QUAL	0	142	75665	47689	26755	0
QUAL	0	143	275675	171790	100374	0
QUAL	0	144	132879	83065	47231	0
QUAL	0	145	93943	58789	33276	0
QUAL	0	146	80411	50361	28546	0
QUAL	0	147	65898	41537	22995	0
QUAL	0	148	67319	42225	23882	0
QUAL	0	149	77261	48371	27595	0
QUAL	0	150	67357	42420	23774	0
QUAL	0	151	69467	43938	24432	0
QUAL	0	152	80735	50759	28718	0
QUAL	0	153	67601	42914	23550	0
QUAL	0	154	69904	44169	24559	0
QUAL	0	155	83124	52391	29428	0
QUAL	0	156	68823	43464	24151	0
QUAL	0	157	70092	44388	24646	0
QUAL	0	158	85116	53600	30238	0
QUAL	0	159	69758	44302	24311	0
QUAL	0	160	71035	44820	25119	0
QUAL	0	161	87393	55043	31030	0
QUAL	0	162	70066	44143	24775	0
QUAL	0	163	71002	44837	25020	0
QUAL	0	164	89804	56597	31908	0
QUAL	0	165	71736	45271	25378	0
QUAL	0	166	76419	48075	27237	0
QUAL	0	167	102405	64258	36604	0
QUAL	0	168	76045	47940	26809	0
QUAL	0	169	73271	46579	25531	0
QUAL	0	170	95173	60012	33868	0
QUAL	0	171	70861	44772	24862	0
QUAL	0	172	68425	43070	24221	0
QUAL	0	173	91259	57438	32519	0
QUAL	0	174	69143	43662	24368	0
QUAL	0	175	67465	42539	23830	0
QUAL	0	176	91737	57550	32796	0
QUAL	0	177	67642	42674	23769	0
QUAL	0	178	66250	41827	23331	0
QUAL	0	179	88546	55786	31489	0
QUAL	0	180	69334	43949	24225	0
QUAL	0	181	63561	40038	22482	0
QUAL	0	182	84464	53166	29890	0
QUAL	0	183	61477	38605	21714	0
QUAL	0	184	61088	38464	21613	0
QUAL	0	185	217307	135341	79218	0
QUAL	0	186	112481	71100	39097	0
QUAL	0	187	75497	47509	26442	0
QUAL	0	188	63799	39865	22665	0
QUAL	0	189	54229	34226	19002	0
QUAL	0	190	55395	34716	19636	0
QUAL	0	191	61202	38465	21633	0
QUAL	0	192	55219	35026	19277	0
QUAL	0	193	56762	35708	20093	0
QUAL	0	194	64675	40782	22837	0
QUAL	0	195	55520	34969	19563	0
QUAL	0	196	57176	36109	20099	0
QUAL	0	197	65473	41503	22884	0
QUAL	0	198	56402	35664	19753	0
QUAL	0	199	57080	36081	20114	0
QUAL	0	200	66538	41966	23567	0
QUAL	0	201	56910	36130	19842	0
QUAL	0	202	57815	36547	20391	0
QUAL	0	203	68378	43050	24286	0
QUAL	0	204	56551	35985	19619	0
QUAL	0	205	57165	36147	20045	0
QUAL	0	206	69957	44196	24752	0
QUAL	0	207	58090	36722	20435	0
QUAL	0	208	61265	38571	21728	0
QUAL	0	209	82469	52053	29193	0
QUAL	0	210	61168	38795	21320	0
QUAL	0	211	58612	36948	20674	0
QUAL	0	212	72480	45567	25801	0
QUAL	0	213	56324	35671	19686	0
QUAL	0	214	54879	34530	19428	0
QUAL	0	215	70451	44186	25201	0
QUAL	0	216	55197	34923	19402	0
QUAL	0	217	54595	34453	19220	0
QUAL	0	218	70273	44142	25102	0
QUAL	0	219	55009	34837	19213	0
QUAL	0	220	54222	34245	19064	0
QUAL	0	221	69350	43394	24842	0
QUAL	0	222	57188	36129	20104	0
QUAL	0	223	53267	33669	18655	0
QUAL	0	224	67309	42162	23941	0
QUAL	0	225	50841	32067	17831	0
QUAL	0	226	50181	31521	17748	0
QUAL	0	227	150742	93315	55561	0
QUAL	0	228	114126	72379	39655	0
QUAL	0	229	65354	40974	22982	0
QUAL	0	230	53510	33517	18925	0
QUAL	0	231	45467	28747	15801	0
QUAL	0	232	46384	29223	16291	0
QUAL	0	233	50043	31349	17823	0
QUAL	0	234	46661	29522	16314	0
